ID,tag,datum,rueckmeld,besichtigt,zeit,adresse,qm,miete,miete_raw,warm,moebel,area,fake,lat,lon
1,,,,,,Olbersstr. 2B,18,320,320,,,Charlottenburg,,52.529267,13.297121
2,,,,,,Osnabrueckerstr. 30B,33,400,400,,,Charlottenburg,,52.52553,13.302868
3,,,,,,OrdensmeisterstrB,20,290,290,,,Tempelhof,,52.458888,13.397877
4,,,1,0,,ObentrautstrB,25,367,367,,,Kreuzberg,,52.496161,13.38893
5,,,,,,Frankfurter Allee 266B,25,350,350,,,Lichtenberg,,52.510731,13.501734
6,1,07/09/13,1,1,10,Fasanenstr. 64B,21,306,306,,400,Wilmersdorf,,52.499595,13.327325
7,,,,,,Rathausstr. B,30,350,350,,,Mitte,,52.519538,13.40955
8,4,10/09/13,1,1,8,Elbfelderstr.B,44,340,340,,,Moabit,,52.52,13.34
9,,,,,,TheklastrB,38,390,390,,,Lichterfelde,,52.430148,13.303008
10,,,,,,UpstalwegB,39,382,382,,,Mariendorf,,52.440362,13.384927
11,,,,,,Durlachstr 23B,37,315,315,,300,Wilmersdorf,,52.48952,13.31543
12,,,1,,,Zwillingstr. 10B,35,380,380,,,Neukoelln,,52.46764,13.4633884
13,,,,,,Frankfurter Allee 216B,35,394,394,,365,Lichtenberg,,52.511009,13.494137
14,,,,,,Brigittenstr. 1B,41,380,380,,,Lankwitz,,52.434143,13.337403
15,,,,,,Warschauerstr. 83B,18,340,340,,,Friedrichshain,,52.514454,13.453979
16,,,,,,Gervinusstr. B,16,315,315,,,Charlottenburg,,52.502316,13.296721
17,,,,,,Suarezstr. 7B,16,390,390,,,Charlottenburg,,52.509529,13.296305
18,,,,,,Schlesischer Str. 20B,18,280,280,,,Kreuzberg,,52.498491,13.446396
19,,,,,,Fidicinstrasse 29B,23,370,370,,,Kreuzberg,,52.486784,13.392767
20,2,08/09/13,1,1,17,Pradelstr. 4B,23,330,330,,,Pankow,,52.564976,13.395194
21,5,11/09/13,1,1,11,Winfriedstr. 39B,25,250,250,,,Zehlendorf,,52.438488,13.264062
22,,,,,,Heinrich-Heine-StrB,33,385,385,,,Mitte,,52.510134,13.414992
23,,,,,,Wickertstr. 51B,22,300,300,,,Prenzlauer Berg,,52.547233,13.424646
24,,,1,0,,Manteufelstr. 81B,33,390,390,,,Tempelhof,,52.464434,13.377514
25,,,,,,Bleichstr.B,35,380,380,,,Kreuzberg,,,
26,,,,,,Stuelpnagelstr. 7B,31,365,365,,,Charlottenburg,,52.511511,13.283072
27,,,,,,Muelhauser Str 2B,36,330,330,,,Prenzlauer Berg,,52.532973,13.418973
28,,,,,,Heidelaeuferweg 56/58B,43,324,324,,,Buckow,,52.418883,13.439974
29,,,,,,Lynarstr. 9B,37,315,315,,,Spandau,,52.548939,13.207461
30,,,,,,Eulerstr. 14B,22,360,360,,,Gesundbrunnen,,52.553755,13.391069
31,5,11/09/13,1,1,18,Jonasstr. B,35,362,362,,,Neukoelln,,52.472202,13.439732
32,,,,,,Frankfurter Allee 216B,25,337,337,,,Friedrichshain,,52.514916,13.458255
33,,,,,,Fichtestr. 33B,53,410,410,,,Kreuzberg,,52.491132,13.41332
34,2,08/09/13,1,1,12,Schierker Platz 5B,40,380,380,,,Neukoelln,,52.470294,13.437824
35,,,,,,Knoeckstr. 1B,56,250,250,,,Prenzlauer Berg,1,52.528493,13.422526
36,,,,,,Strassmannstr. 29B,38,389,389,,,Friedrichshain,,52.522803,13.451695
37,,,,,,Pistoriusstr. 26B,44,389,389,,,Weissensee,,52.552542,13.450618
38,,,,,,Koenigin-Elisabeth-Str. 27B,38,397,397,,,Charlottenburg,,52.51248,13.280986
39,,,,,,Ruedigerstr. 81B,42,379,379,,,Lichterfelde,,54.035923,10.444801
40,,,,,,Cotheniusstr. 1B,15,299,299,,,Friedrichshain,,52.527878,13.447099
41,,,,,,Beusselstr. 62B,38,370,370,,,Moabit,,52.528792,13.328377
42,,,,,,Paulsbornestr. 88aB,23,340,340,,,Wilmersdorf,,52.49673,13.304687
43,,,,,,Bornholmerstr. 73B,42,320,320,,,Prenzlauer Berg,,52.554021,13.403737
44,5,11/09/13,1,1,12,Huttenstr. 38B,36,336,336,,,Charlottenburg,,52.528826,13.316287
45,,,,,,Anzengruberstr. 11B,33,375,375,,,Neukoelln,,52.480561,13.440675
46,6,12/09/13,1,1,17,Bornholmerstr. 73B,42,328,328,,,Prenzlauer Berg,,52.554021,13.403737
